2024-08-15 11:02:59.032 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.033 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.069 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.069 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.110 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.111 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.152 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.152 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.190 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.191 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.229 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.229 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.270 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.270 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.309 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.309 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.349 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.349 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.390 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.390 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.429 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.429 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.471 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.471 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.511 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.511 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.550 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.551 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.590 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.590 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.629 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.630 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.671 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.672 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.710 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:59.710 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:59.750 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
